"visit_date,""visitors_count"",""utm_source"",""utm_medium"",""utm_campaign"",""total_cost"",""leads_count"",""purchases_count"",""revenue"""
2023-06-01,130,yandex,cpc,freemium,21654,101,25,1654810
2023-06-01,126,vk,cpc,freemium-frontend,3160,44,5,338083
2023-06-01,100,admitad,cpa,admitad,,0,0,
2023-06-01,97,vk,cpc,prof-python,2028,40,5,355564
2023-06-01,96,yandex,cpc,prof-frontend,57138,74,12,1057000
2023-06-01,83,vk,cpc,base-python,2537,36,1,9072
2023-06-01,82,vk,cpc,prof-java,3115,24,2,232726
2023-06-01,82,yandex,cpc,prof-python,33026,65,8,680246
2023-06-01,76,vk,cpc,prof-data-analytics,1072,30,0,
2023-06-01,72,vk,cpc,freemium-java,487,24,0,
2023-06-01,66,vk,cpc,freemium-python,980,25,1,1560
2023-06-01,61,yandex,cpc,prof-java,29490,49,4,284590
2023-06-01,54,yandex,cpc,base-frontend,18061,41,3,268515
2023-06-01,44,telegram,cpp,base-python,,0,0,
2023-06-01,38,telegram,cpp,base-java,,0,0,
