visitor_id;visit_date;utm_source;utm_medium;utm_campaign;lead_id;created_at;amount;closing_reason;status_id
35060e525ca62de0a0aa93992c7e07799d855f79;40:28.0;yandex;cpc;prof-frontend;26066151;52:40.0;237990;Успешная продажа;142
d183fbda6f03b965a1cd1cee0a3f7b81a44b78ec;39:00.0;yandex;cpc;base-frontend;74450379;36:31.0;201150;Успешная продажа;142
ca003c89182365dd75262e54772fda03ee923e92;58:00.0;vk;cpc;freemium-frontend;48838540;49:16.0;189210;Успешная продажа;142
d31c95902f2d3183e7052c235ad72d82838e98c2;44:00.0;yandex;cpc;freemium;21579820;28:22.0;188991;Успешная продажа;142
fd1438246c3b520c8dfa1aed4c73133c8ca10ab4;57:00.0;yandex;cpc;prof-frontend;23169912;13:44.0;180306;Успешная продажа;142
b6ddcd9f994bad353f37b0c5f7115b66d07b10c2;41:00.0;vk;cpc;prof-java;50769366;43:46.0;178800;Успешная продажа;142
f2db2eb1295e51cf3426e4211172d839e7f93ddc;39:00.0;yandex;cpc;prof-frontend;25327894;57:08.0;167625;Успешная продажа;142
bd5ad484a0cf7f80c1522009dd4ee3d825f35a46;34:00.0;yandex;cpc;base-python;73882489;36:49.0;160920;Успешная продажа;142
f1dc9c36bd7269ed93e736b29de33e0e7a02e1a3;15:04.7;telegram;cpp;base-java;20614407;47:47.0;151192;Успешная продажа;142
36d4c2cfec3dba3a50cfd0d31ace2d4dcb70560c;43:00.0;yandex;cpc;dod-php;24703215;40:56.0;150255;Успешная продажа;142
